Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Boucher, B.",OCO,1,5,0,0
"Edd, B.",OCO,1,15,0,0
"Harrison, H.",OCO,0,0,6,0
"Irving, J.",OCO,0,0,6,0
"Iridian, G.",OCO,0,0,4,0
"Pak, Y.",OCO,0,0,3,0
"Johns, A.",OCO,0,0,2,0
"Wokkenfuss, G.",OCO,0,0,2,0
"Nakamura, T.",OCO,0,0,1,0
"Kuusela, G.",AUS,2,20,0,0
"Saurus, B.",AUS,1,10,6,1
"Tidwell, R.",AUS,1,5,0,0
"Saurus, B.",AUS,0,0,5,1
"Fassingit, H.",AUS,0,0,5,0
"Leaf Jr., R.",AUS,0,0,5,0
"Saurus, A.",AUS,0,0,4,1
"Beaver-Dantes, E.",AUS,0,0,3,0
"Mendonca, M.",AUS,0,0,2,0
"Larson, P.",AUS,0,0,1,0
