,Q,Score Type,Time Remaining,Play,AZ,PHI
1,1,TD,9:13,Carter Bush 25 yd pass from Adriana Falconi. (Kulture Fulture kick),0,7
2,1,FG,2:58,39 yd FG by Dean Jackson,3,7
3,1,FG,0:42,44 yd FG by Kulture Fulture,3,10
5,2,TD,12:47,Jordan von Matt 15 yd pass from Adriana Falconi. (Kulture Fulture kick),3,17
6,2,TD,10:06,Slim Shady 1 yd run. (Dean Jackson kick),10,17
7,2,FG,4:51,32 yd FG by Kulture Fulture,10,20
8,2,TD,0:55,Marquise Brown 1 yd run. (Kulture Fulture kick),10,27
9,2,FG,0:22,17 yd FG by Kulture Fulture,10,30
11,3,TD,11:49,Marquise Brown 2 yd run. (Kulture Fulture kick),10,37
12,3,TD,1:44,Carter Bush 28 yd pass from Adriana Falconi. (Kulture Fulture kick),10,44
14,4,TD,9:00,Roger Batoff 2 yd pass from Adriana Falconi. (Kulture Fulture kick),10,51
15,4,FG,4:12,25 yd FG by Dean Jackson,13,51
16,4,TD,0:29,LaMarcus Strike 3 yd run. (Kulture Fulture kick),13,58
