,Q,Score Type,Time Remaining,Play,BAL,SJS
1,1,FG,7:23,36 yd FG by Alex Frost,3,0
2,1,TD,1:47,Marquise Brown 6 yd run. (Alex Frost kick),10,0
4,2,TD,13:20,Joliet L. Christ 1 yd run. (Neo Donaldson XP no good),10,6
5,2,TD,6:56,Marquise Brown 4 yd run. (Alex Frost kick),17,6
6,2,FG,2:09,44 yd FG by Neo Donaldson,17,9
7,2,FG,0:23,55 yd FG by Neo Donaldson,17,12
9,3,FG,8:14,21 yd FG by Neo Donaldson,17,15
11,4,FG,11:45,18 yd FG by Neo Donaldson,17,18
12,4,FG,8:06,47 yd FG by Alex Frost,20,18
13,4,TD,3:31,Xavier Flash 28 yd pass from Joliet L. Christ. (Neo Donaldson kick),20,25
14,4,TD,1:07,Vinny Valentine 32 yd pass from Childish Gambino. (2pt conversion good),28,25
