,Q,Score Type,Time Remaining,Play,BAL,YKW
1,1,TD,13:30,Bubba Nuck 1 yd run. (Joseph Lombardi kick),0,7
2,1,FG,10:18,47 yd FG by Turk Turkleton,3,7
3,1,FG,6:10,28 yd FG by Joseph Lombardi,3,10
4,1,TD,2:14,Trey Willie 6 yd pass from Avon Blocksdale. (Turk Turkleton XP blocked),9,10
6,2,TD,13:12,Bubba Nuck 8 yd pass from Mat Akselsen. (Joseph Lombardi kick),9,17
7,2,TD,12:57,Trey Willie 90 yd kickoff return. (Turk Turkleton XP no good),15,17
8,2,FG,11:03,18 yd FG by Joseph Lombardi,15,20
9,2,TD,6:20,Bailey Cook 8 yd pass from Mat Akselsen. (Joseph Lombardi kick),15,27
10,2,FG,2:02,29 yd FG by Turk Turkleton,18,27
12,3,FG,0:57,37 yd FG by Turk Turkleton,21,27
14,4,TD,13:52,DJ Law 47 yd pass from Mat Akselsen. (Joseph Lombardi kick),21,34
15,4,FG,8:56,32 yd FG by Joseph Lombardi,21,37
