,Q,Score Type,Time Remaining,Play,AZ,NO
1,1,TD,7:54,Darren Smallwood 1 yd run. (Iyah Blewitt kick),0,7
2,1,TD,4:34,Darren Smallwood 6 yd pass from Borkus Maximus III. (Iyah Blewitt kick),0,14
4,2,TD,14:09,Darren Smallwood 3 yd run. (Iyah Blewitt kick),0,21
5,2,TD,13:51,Darren Morris 108 yd kickoff return. (Dean Jackson kick),7,21
6,2,FG,3:45,38 yd FG by Iyah Blewitt,7,24
7,2,FG,0:15,50 yd FG by Iyah Blewitt,7,27
9,3,TD,5:04,Ardie Savea 10 yd pass from Borkus Maximus III. (Iyah Blewitt kick),7,34
10,3,TD,0:21,Charlie Law 27 yd pass from Borkus Maximus III. (Iyah Blewitt kick),7,41
12,4,FG,13:06,47 yd FG by Dean Jackson,10,41
13,4,TD,8:35,Darren Smallwood 3 yd run. (Iyah Blewitt kick),10,48
