,Q,Score Type,Time Remaining,Play,COL,BAL
1,1,TD,11:30,Trey Willie 26 yd pass from Avon Blocksdale. (Turk Turkleton kick),0,7
2,1,FG,6:33,43 yd FG by Turk Turkleton,0,10
3,1,TD,5:41,Owen Taylor 1 yd run. (Turk Turkleton kick),0,17
4,1,TD,1:10,Michael Newman 2 yd run. (Bojo Kicksit kick),7,17
6,2,TD,12:17,Owen Taylor 9 yd pass from Avon Blocksdale. (Turk Turkleton kick),7,24
7,2,TD,12:01,Kendrick Hendrix 104 yd kickoff return. (Bojo Kicksit kick),14,24
8,2,TD,2:36,Owen Taylor 1 yd run. (Turk Turkleton kick),14,31
10,3,FG,9:53,37 yd FG by Turk Turkleton,14,34
11,3,TD,2:19,Darnell Turner 40 yd interception return. (Turk Turkleton kick),14,41
13,4,FG,11:07,37 yd FG by Bojo Kicksit,17,41
14,4,TD,5:43,Cooper Christmas 17 yd pass from Avon Blocksdale. (Turk Turkleton kick),17,48
