,Q,Score Type,Time Remaining,Play,NO,SJS
1,1,TD,12:36,Forrest Gump 1 yd run. (Alex Frost kick),7,0
2,1,TD,9:57,Xavier Flash 41 yd pass from Joliet L. Christ. (Neo Donaldson kick),7,7
3,1,TD,7:15,Action Jackson (R) 4 yd pass from Stan Francisco. (Alex Frost kick),14,7
4,1,TD,3:48,Vladimir Fyodorovich 14 yd pass from Stan Francisco. (Alex Frost XP no good),20,7
5,1,TD,2:03,Cameron Olsen 24 yd pass from Joliet L. Christ. (Neo Donaldson kick),20,14
7,2,TD,6:02,Vladimir Fyodorovich 55 yd pass from Stan Francisco. (Alex Frost kick),27,14
9,3,TD,10:46,Xavier Flash 28 yd pass from Joliet L. Christ. (Neo Donaldson kick),27,21
10,3,FG,6:52,38 yd FG by Neo Donaldson,27,24
11,3,FG,1:28,34 yd FG by Neo Donaldson,27,27
13,4,TD,9:31,Ludicolo Bigby 3 yd run. (Neo Donaldson kick),27,34
14,4,FG,0:48,40 yd FG by Neo Donaldson,27,37
