Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Rchon, A.",YKW,1,3,1,0
"Harris Jr., F.",YKW,1,5,0,0
"Maddox, R.",YKW,1,15,0,0
"Ones, B.",YKW,0,0,9,0
"Mushing, M.",YKW,0,0,6,0
"McPoyal, G.",YKW,0,0,2,0
"Pooky, S.",YKW,0,0,2,0
"Amper, T.",YKW,0,0,1,1
"Gore, B.",YKW,0,0,1,0
"Rainey, R.",YKW,0,0,1,0
"Bolden, B.",NO,2,20,4,0
"Askins, J.",NO,1,15,0,0
"Evans, D.",NO,1,5,0,0
"Maximus III, B.",NO,1,5,0,0
"Roll, J.",NO,1,5,0,0
"Ory, K.",NO,0,0,4,0
"Armstrong, L.",NO,0,0,3,1
"Ruffins, K.",NO,0,0,3,0
"Savea, A.",NO,0,0,3,0
"DiMirio, P.",NO,0,0,2,0
"Smallwood, D.",NO,0,0,1,0
