,Q,Score Type,Time Remaining,Play,NO,OCO
1,1,TD,8:41,Tyler Swift 29 yd pass from Borkus Maximus III. (Beat Meoff kick),7,0
2,1,TD,1:54,Vladimir Fyodorovich 9 yd pass from Borkus Maximus III. (Beat Meoff kick),14,0
4,2,TD,13:43,None Sunnycursed 8 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),14,7
5,2,TD,6:25,None Sunnycursed 15 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),14,14
6,2,FG,0:24,34 yd FG by Adam Anderson,14,17
8,3,TD,10:17,Seer Zephyrous 14 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),14,24
9,3,TD,4:20,Carlito Crush 27 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),14,31
10,3,TD,4:02,Aksel Danielsson 106 yd kickoff return. (Beat Meoff kick),21,31
12,4,TD,14:34,Carlito Crush 11 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),21,38
13,4,TD,12:53,Seer Zephyrous 1 yd run. (Adam Anderson kick),21,45
14,4,TD,6:24,Borkus Maximus III 14 yd run. (Beat Meoff kick),28,45
