,Q,Score Type,Time Remaining,Play,SJS,BAL
1,1,TD,11:16,Owen Taylor 1 yd run. (Turk Turkleton kick),0,7
2,1,TD,7:27,Owen Taylor 1 yd run. (Turk Turkleton kick),0,14
3,1,TD,3:16,Kazmir (R) Oles 13 yd pass from Mat Akselsen. (Kyle Corbett XP no good),6,14
4,1,TD,1:21,Budda Browning 69 yd punt return. (Turk Turkleton kick),6,21
6,2,TD,8:57,Carter Bush 16 yd pass from Avon Blocksdale. (Turk Turkleton kick),6,28
7,2,TD,4:00,Elijah (R) Lagerfield 5 yd run. (Kyle Corbett kick),13,28
9,3,TD,12:24,Owen Taylor 1 yd run. (Turk Turkleton kick),13,35
10,3,FG,7:38,33 yd FG by Kyle Corbett,16,35
11,3,TD,0:16,Owen Taylor 7 yd pass from Avon Blocksdale. (Turk Turkleton kick),16,42
13,4,FG,8:28,21 yd FG by Turk Turkleton,16,45
14,4,TD,7:46,Shane Weston 7 yd pass from Mat Akselsen. (Kyle Corbett kick),23,45
15,4,TD,5:39,Shane Weston 49 yd pass from Mat Akselsen. (Kyle Corbett kick),30,45
