,Q,Score Type,Time Remaining,Play,PHI,COL
1,1,FG,11:42,21 yd FG by Baxter Frost (R),3,0
2,1,FG,8:09,35 yd FG by Baxter Frost (R),6,0
3,1,FG,2:48,37 yd FG by Baxter Frost (R),9,0
5,2,FG,8:12,19 yd FG by Stephen Harris Jr,9,3
6,2,TD,1:06,Sam Torenson 1 yd run. (Baxter Frost (R) kick),16,3
8,3,TD,10:09,James Bishop 38 yd pass from Wolfie McDummy. (Stephen Harris Jr kick),16,10
9,3,TD,6:44,Nacho Varga 43 yd pass from Adriana Falconi. (Baxter Frost (R) kick),23,10
10,3,FG,2:02,21 yd FG by Stephen Harris Jr,23,13
12,4,FG,12:39,18 yd FG by Baxter Frost (R),26,13
13,4,TD,9:40,Michael Vincent (R) 9 yd run. (Stephen Harris Jr kick),26,20
14,4,TD,3:59,Armor King 3 yd pass from Wolfie McDummy. (Stephen Harris Jr kick),26,27
