Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG
"Harrison, S.",BAL,10,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Harrison, G.",BAL,6,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Hendrix, K.",BAL,6,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"McGinn, I.",BAL,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Speed, D.",BAL,4,0,1,1/0,1,0,0,0,"[0, 0, 0]"
"Broadway, E.",BAL,3,1,0,0/0,3,0,0,0,"[0, 0, 0]"
"Metas, B.",BAL,3,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Delacour, A.",BAL,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Showcase, S.",BAL,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Al Mahrouqi, K.",BAL,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Crocker, B.",BAL,1,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Peterson, M.",BAL,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Hansen, A.",YKW,8,0,0,0/0,1,1,0,0,"[0, 0, 0]"
"Lavelle, D.",YKW,7,0,0,0/0,1,1,0,0,"[0, 0, 0]"
"Ramrio, M.",YKW,7,0,2,0/0,0,0,0,0,"[0, 0, 0]"
"Flimjollywop, S.",YKW,6,0,0,0/0,1,1,0,1,"[0, 0, 0]"
"Rivere, H.",YKW,5,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Sanchez, P.",YKW,5,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Bender, T.",YKW,4,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Shelton, L.",YKW,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Hampshireton, R.",YKW,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Varga, T.",YKW,3,2,1,0/0,0,0,0,0,"[0, 0, 0]"
"Cutter, D.",YKW,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Spearhead, J.",YKW,2,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"LeClair, A.",YKW,0,0,0,0/1,0,0,0,0,"[0, 0, 0]"
