,Q,Score Type,Time Remaining,Play,PHI,LV
1,1,TD,12:28,Ardie Savea 2 yd run. (Wayne Gooney kick),0,7
2,1,FG,7:28,32 yd FG by Stephen Harris,3,7
3,1,TD,4:33,Alexandre LeClair 7 yd pass from Wallace Stone. (Wayne Gooney kick),3,14
4,1,FG,0:19,33 yd FG by Stephen Harris,6,14
6,2,TD,11:09,Jon Ross 14 yd pass from Wallace Stone. (Wayne Gooney kick),6,21
7,2,FG,7:19,38 yd FG by Stephen Harris,9,21
9,3,TD,6:55,Kyle Cobb 8 yd run. (Wayne Gooney kick),9,28
10,3,TD,4:10,Fox North 79 yd pass from Clifford Rove. (Stephen Harris kick),16,28
12,4,FG,8:43,43 yd FG by Stephen Harris,19,28
13,4,FG,3:02,43 yd FG by Wayne Gooney,19,31
