,Q,Score Type,Time Remaining,Play,BAL,SJS
1,1,FG,11:28,39 yd FG by Datsum PhastBawl (R),3,0
3,2,TD,14:50,Jamar Lackson 1 yd run. (Matthew McDairmid kick),3,7
4,2,TD,5:10,Dex Kennedy 25 yd interception return. (Datsum PhastBawl (R) kick),10,7
5,2,FG,1:19,31 yd FG by Matthew McDairmid,10,10
7,3,TD,10:58,Rando Cardrissian 18 yd pass from Monterey Jack. (Matthew McDairmid kick),10,17
8,3,FG,3:48,47 yd FG by Datsum PhastBawl (R),13,17
10,4,FG,12:47,21 yd FG by Datsum PhastBawl (R),16,17
11,4,TD,4:30,Philip Stein (R) 29 yd interception return. (Matthew McDairmid kick),16,24
12,4,TD,1:46,Rando Cardrissian 1 yd run. (Matthew McDairmid XP no good),16,30
13,4,FG,0:00,34 yd FG by Matthew McDairmid,16,33
