Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Bradberton, J.",AUS,2,24,0,0
"Tidwell, R.",AUS,1,5,0,0
"A'Moderateamount, L.",AUS,0,0,6,0
"A'Ton, L.",AUS,0,0,5,1
"A'Barelyanything, L.",AUS,0,0,5,0
"A'Little, L.",AUS,0,0,4,1
"Beaver-Dantes, E.",AUS,0,0,3,0
"Larson, P.",AUS,0,0,1,0
"Mendonca, M.",AUS,0,0,1,0
"Arbage, G.",AZ,1,10,7,0
"Irving, J.",AZ,1,5,5,0
"Masters, S.",AZ,1,10,0,0
"McKinnie, L.",AZ,1,10,0,0
"Scarlett, D.",AZ,1,10,0,0
"Block, T.",AZ,0,0,4,0
"Chungus, M.",AZ,0,0,4,0
"Bakhtiari, S.",AZ,0,0,3,1
"Ruff, R.",AZ,0,0,2,0
"Unk, J.",AZ,0,0,1,0
