,Q,Score Type,Time Remaining,Play,AZ,YKW
1,1,TD,10:27,Charles Allan 1 yd run. (Alex Frost kick),7,0
2,1,TD,1:52,Ruff Ruff (R) 12 yd run. (Alex Frost kick),14,0
4,2,SF,13:58,Andrew Reese tackled for a safety.,14,2
5,2,FG,12:19,18 yd FG by Neo Donaldson,14,5
6,2,FG,9:23,35 yd FG by Alex Frost,17,5
8,3,TD,11:21,Nate Swift 3 yd pass from Cooter Bigsby. (Neo Donaldson kick),17,12
9,3,TD,5:46,None Sunnycursed 11 yd pass from Cooter Bigsby. (Neo Donaldson kick),17,19
10,3,TD,2:14,Ruff Ruff (R) 4 yd run. (Alex Frost kick),24,19
12,4,TD,14:53,Mathias Hanyadi (R) 2 yd run. (2pt conversion good),24,27
13,4,TD,9:58,Orien Drake (R) 2 yd run. (Neo Donaldson kick),24,34
14,4,TD,2:40,Nate Swift 36 yd pass from Cooter Bigsby. (Neo Donaldson kick),24,41
