,Q,Score Type,Time Remaining,Play,AZ,SJS
1,1,TD,10:47,Rando Cardrissian (R) 3 yd run. (Matthew McDairmid kick),0,7
2,1,TD,6:46,Deondre Thomas-Fox 18 yd pass from Dan Wright. (Matthew McDairmid kick),0,14
4,2,TD,5:19,Rando Cardrissian (R) 5 yd run. (Matthew McDairmid kick),0,21
5,2,TD,1:12,Saba Donut 20 yd pass from Jay Cue. (J.J. Jay-Jaymison XP no good),6,21
7,3,TD,11:23,Rando Cardrissian (R) 3 yd run. (Matthew McDairmid kick),6,28
8,3,TD,6:55,Saba Donut 4 yd pass from Jay Cue. (J.J. Jay-Jaymison kick),13,28
9,3,TD,2:47,Jah Bur'Berry 15 yd pass from Jay Cue. (J.J. Jay-Jaymison kick),20,28
11,4,TD,14:33,Baby Yoda (R) 1 yd pass from Jay Cue. (2pt conversion good),28,28
12,4,SF,9:55,Jay Cue tackled for a safety.,28,30
13,4,FG,7:46,37 yd FG by Matthew McDairmid,28,33
