Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Crindy, B.",AZ,8,47,5.9,9,0,4,11
"Browning, B.",AZ,4,65,16.2,42,1,4,11
"Squanch, V.",AZ,4,37,9.2,11,0,4,11
"Mackworthy, R.",AZ,4,16,4,8,0,4,11
"Morris, D.",AZ,2,31,15.5,24,1,4,11
"Booter, F.",AZ,2,2,1,2,0,4,11
"Bush, C.",PHI,6,119,19.8,30,0,4,11
"von Matt, J.",PHI,4,42,10.5,26,1,4,11
"Hasselhoff, F.",PHI,4,29,7.2,16,1,4,11
"Hondo, A.",PHI,3,25,8.3,12,0,4,11
"Brown, M.",PHI,2,16,8,13,0,4,11
"O'Sullivan, S.",PHI,2,11,5.5,7,0,4,11
"O'Sullivan, C.",PHI,1,3,3,3,0,4,11
