Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Mackworthy, R.",AZ,8,20,2.5,8,0,10,8
"Wachter, J.",AZ,7,67,9.6,25,1,10,8
"Chess, C.",AZ,6,89,14.8,25,0,10,8
"Squanch, V.",AZ,6,66,11,27,0,10,8
"Crindy, B.",AZ,6,43,7.2,14,0,10,8
"Christmas, C.",AZ,3,43,14.3,19,0,10,8
"Booter, F.",AZ,1,10,10,10,0,10,8
"Cook, B.",YKW,7,83,11.9,31,0,10,8
"Kennedy, E.",YKW,5,65,13,21,0,10,8
"Lavelle, D.",YKW,4,28,7,12,0,10,8
"McPoyal, G.",YKW,3,31,10.3,14,1,10,8
"Harris Jr., F.",YKW,1,8,8,8,0,10,8
"Gore, B.",YKW,1,4,4,4,0,10,8
