,Q,Score Type,Time Remaining,Play,YKW,AZ
1,1,TD,10:28,Reg Mackworthy 7 yd run. (Dean Jackson kick),0,7
2,1,FG,1:16,47 yd FG by Dean Jackson,0,10
4,2,FG,12:58,35 yd FG by Dean Jackson,0,13
5,2,TD,3:04,Reg Mackworthy 1 yd run. (Dean Jackson kick),0,20
6,2,FG,0:27,28 yd FG by Dean Jackson,0,23
8,3,TD,5:17,Glenn McPoyal 9 yd pass from Mat Akselsen. (None Forfeit kick),7,23
9,3,FG,1:48,27 yd FG by None Forfeit,10,23
11,4,FG,13:53,38 yd FG by Dean Jackson,10,26
12,4,TD,9:48,John Wachter 3 yd pass from King Bronko. (Dean Jackson kick),10,33
13,4,FG,3:19,43 yd FG by Dean Jackson,10,36
