Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Flash, X.",SJS,4,84,21,47,1,12,12
"Justice, T.",SJS,4,74,18.5,42,0,12,12
"Oles, K.",SJS,2,65,32.5,58,0,12,12
"Brannigan, Z.",SJS,2,22,11,13,0,12,12
"Orosz, C.",SJS,2,10,5,5,0,12,12
"Miller, H.",COL,6,113,18.8,37,1,12,12
"Bishop, J.",COL,5,70,14,17,1,12,12
"Grau, M.",COL,4,16,4,9,0,12,12
"Wachter, J.",COL,2,33,16.5,17,1,12,12
"LaMelllana, S.",COL,2,26,13,14,0,12,12
"Strike, L.",COL,2,7,3.5,6,0,12,12
"Wright, R.",COL,1,8,8,8,0,12,12
"Chipmunk, A.",COL,1,7,7,7,0,12,12
