,Q,Score Type,Time Remaining,Play,BAL,AZ
1,1,TD,11:04,John Wachter 8 yd pass from Avon Blocksdale. (Turk Turkleton kick),7,0
2,1,TD,7:12,Reg Mackworthy 1 yd run. (Dean Jackson kick),7,7
3,1,TD,3:05,Budda Browning 35 yd pass from King Bronko. (Dean Jackson XP no good),7,13
5,2,TD,12:07,Reg Mackworthy 4 yd run. (Dean Jackson kick),7,20
6,2,TD,7:46,Trey Willie 25 yd pass from Avon Blocksdale. (Turk Turkleton kick),14,20
7,2,TD,2:27,John Wachter 12 yd pass from Avon Blocksdale. (Turk Turkleton kick),21,20
9,3,TD,9:46,Owen Taylor 6 yd run. (Turk Turkleton kick),28,20
11,4,FG,12:00,33 yd FG by Turk Turkleton,31,20
12,4,FG,6:50,27 yd FG by Turk Turkleton,34,20
13,4,TD,6:33,Reg Mackworthy 108 yd kickoff return. (Dean Jackson kick),34,27
14,4,FG,4:02,37 yd FG by Turk Turkleton,37,27
