,Q,Score Type,Time Remaining,Play,BAL,COL
1,1,TD,11:44,Verso L'Alto 12 yd pass from Childish Gambino. (Alex Frost kick),7,0
2,1,TD,7:11,Devo Cansino 4 yd run. (Kyle Corbett kick),7,7
3,1,FG,2:55,18 yd FG by Alex Frost,10,7
4,1,FG,0:44,34 yd FG by Alex Frost,13,7
6,2,TD,9:43,Marquise Brown 2 yd run. (Alex Frost kick),20,7
7,2,TD,7:24,Viggo Squanch 24 yd pass from Micycle McCormick. (Kyle Corbett kick),20,14
9,3,FG,13:49,33 yd FG by Kyle Corbett,20,17
10,3,TD,8:57,Marquise Brown 2 yd run. (Alex Frost kick),27,17
11,3,TD,5:38,Balthazar Crindy 27 yd pass from Micycle McCormick. (Kyle Corbett kick),27,24
13,4,FG,14:20,28 yd FG by Kyle Corbett,27,27
14,4,TD,9:06,Vinny Valentine 3 yd pass from Childish Gambino. (Alex Frost kick),34,27
15,4,FG,6:49,41 yd FG by Kyle Corbett,34,30
16,4,FG,3:01,49 yd FG by Alex Frost,37,30
