,Q,Score Type,Time Remaining,Play,PHI,CHI
1,1,TD,9:47,Nacho Varga 14 yd pass from Adriana Falconi. (Baxter Frost (R) kick),7,0
2,1,TD,6:38,Josh Parker 28 yd pass from Rose Jenkins. (Kulture Fulture kick),7,7
3,1,TD,3:19,Gekyume Stokeley 31 yd interception return. (Baxter Frost (R) kick),14,7
5,2,FG,7:31,22 yd FG by Kulture Fulture,14,10
6,2,TD,2:22,Nacho Varga 33 yd pass from Adriana Falconi. (Baxter Frost (R) kick),21,10
8,3,FG,9:10,36 yd FG by Baxter Frost (R),24,10
9,3,TD,6:58,Nacho Varga 10 yd pass from Adriana Falconi. (Baxter Frost (R) kick),31,10
11,4,TD,13:53,Felix Hasselhoff 16 yd pass from Rose Jenkins. (Kulture Fulture kick),31,17
12,4,TD,9:34,Sam Torenson 1 yd run. (Baxter Frost (R) kick),38,17
13,4,TD,6:30,Aksel Danielsson 1 yd run. (Kulture Fulture kick),38,24
