Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Harrison, G.",BAL,2,15,0,0,5,1
"Bigboy1, Z.",BAL,1,6,1,1,5,1
"Christmas, C.",BAL,1,3,0,0,5,1
"Harris, F.",BAL,1,6,0,0,5,1
"Sharpei, V.",BAL,0,0,4,0,5,1
"Weal, J.",BAL,0,0,2,1,5,1
"Bigboy10, Z.",BAL,0,0,1,0,5,1
"Bigboy12, Z.",BAL,0,0,1,0,5,1
"Novel, L.",BAL,0,0,1,0,5,1
"Robinson, M.",BAL,0,0,1,0,5,1
"Bigboy11, Z.",BAL,0,0,0,1,5,1
"Robicheaux, D.",SJS,2,15,5,0,5,1
"MacManus, C.",SJS,1,5,2,0,5,1
"Hackett, A.",SJS,1,5,0,0,5,1
"Richter, Z.",SJS,1,5,0,0,5,1
"Longshaw, B.",SJS,0,0,4,0,5,1
"Bigboy8, Z.",SJS,0,0,2,0,5,1
"Bottles, B.",SJS,0,0,2,0,5,1
"Tebow, T.",SJS,0,0,1,0,5,1
