Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Parker, J.",YKW,8,100,12.5,25,0,8,14
"Pennington, B.",YKW,7,82,11.7,30,1,8,14
"Helanen, T.",YKW,6,69,11.5,37,0,8,14
"Wizardry, D.",YKW,6,30,5,17,0,8,14
"Swift, N.",YKW,2,15,7.5,9,0,8,14
"Pitcher, A.",YKW,1,6,6,6,0,8,14
"Sunnycursed, N.",OCO,5,65,13,19,0,8,14
"Blaze, J.",OCO,4,27,6.8,10,0,8,14
"Zephyrous, S.",OCO,4,16,4,7,1,8,14
"Adams, R.",OCO,2,27,13.5,14,1,8,14
"Anoa'i, D.",OCO,2,10,5,8,0,8,14
"McPoyal, G.",OCO,1,20,20,20,0,8,14
"Crush, C.",OCO,1,8,8,8,0,8,14
