,Q,Score Type,Time Remaining,Play,BAL,YKW
1,1,TD,10:12,Bailey Cook 16 yd pass from Mat Akselsen. (None Forfeit kick),0,7
2,1,FG,3:22,23 yd FG by None Forfeit,0,10
4,2,FG,13:54,44 yd FG by None Forfeit,0,13
5,2,FG,9:05,27 yd FG by Turk Turkleton,3,13
6,2,TD,2:11,Antoine Delacour 85 yd punt return. (Turk Turkleton kick),10,13
8,3,FG,2:42,30 yd FG by None Forfeit,10,16
10,4,FG,15:00,46 yd FG by None Forfeit,10,19
11,4,TD,10:45,Alexandre LeClair 9 yd pass from Avon Blocksdale. (Turk Turkleton kick),17,19
12,4,TD,6:41,Eric Kennedy 5 yd pass from Mat Akselsen. (None Forfeit kick),17,26
13,4,FG,4:20,44 yd FG by None Forfeit,17,29
14,4,TD,1:12,Trey Willie 26 yd pass from Avon Blocksdale. (Turk Turkleton kick),24,29
