,Q,Score Type,Time Remaining,Play,YKW,SJS
1,1,TD,10:06,Bailey Cook 8 yd pass from Ethan Hunt. (Kentillan Laces kick),0,7
2,1,TD,6:01,Levon Novel 10 yd pass from Chris Orosz. (Archibald Booter XP no good),6,7
3,1,FG,4:06,39 yd FG by Archibald Booter,9,7
5,2,TD,11:56,Ethan Hunt 2 yd run. (Kentillan Laces kick),9,14
6,2,TD,5:22,Jack Durden 1 yd run. (Kentillan Laces kick),9,21
8,3,TD,10:07,Bubba Nuck 1 yd run. (Archibald Booter kick),16,21
9,3,TD,4:43,Darren Smallwood 7 yd pass from Chris Orosz. (Archibald Booter kick),23,21
10,3,FG,1:46,46 yd FG by Kentillan Laces,23,24
12,4,FG,13:44,47 yd FG by Archibald Booter,26,24
13,4,TD,3:58,Ricky Maddox 5 yd pass from Chris Orosz. (Archibald Booter kick),33,24
14,4,TD,1:30,Bubba Nuck 2 yd run. (Archibald Booter kick),40,24
