,Q,Score Type,Time Remaining,Play,NO,PHI
1,1,TD,9:35,Darren Smallwood 3 yd run. (Iyah Blewitt kick),7,0
2,1,FG,6:17,40 yd FG by Beat (R) Meoff,7,3
4,2,FG,4:19,44 yd FG by Iyah Blewitt,10,3
5,2,FG,1:14,46 yd FG by Iyah Blewitt,13,3
7,3,FG,10:19,48 yd FG by Beat (R) Meoff,13,6
8,3,TD,6:41,Darren Smallwood 5 yd run. (Iyah Blewitt kick),20,6
9,3,TD,4:59,Dustin Evans 8 yd pass from Borkus Maximus III. (Iyah Blewitt kick),27,6
10,3,TD,2:14,Darren Smallwood 3 yd run. (Iyah Blewitt kick),34,6
12,4,FG,6:56,23 yd FG by Iyah Blewitt,37,6
13,4,FG,0:07,20 yd FG by Iyah Blewitt,40,6
