,Q,Score Type,Time Remaining,Play,AZ,AUS
1,1,TD,6:45,Django Anoa'i 12 yd pass from Easton Cole. (Alfredo Crisco kick),0,7
3,2,TD,7:57,Mako Mendonca 2 yd run. (Alfredo Crisco kick),0,14
5,3,TD,13:33,Sandip Bakshi 29 yd interception return. (Alfredo Crisco kick),0,21
6,3,FG,8:01,31 yd FG by Alex Frost,3,21
7,3,TD,4:30,Django Anoa'i 13 yd pass from Easton Cole. (Alfredo Crisco kick),3,28
8,3,TD,3:20,Mako Mendonca 1 yd run. (Alfredo Crisco kick),3,35
10,4,FG,12:23,44 yd FG by Alfredo Crisco,3,38
11,4,TD,7:09,Mako Mendonca 9 yd run. (Alfredo Crisco kick),3,45
12,4,TD,3:47,Ruff Ruff (R) 1 yd run. (Alex Frost kick),10,45
13,4,FG,1:13,30 yd FG by Alfredo Crisco,10,48
