Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Mushing, M.",YKW,0,0,5,0
"Ones, B.",YKW,0,0,4,0
"Pooky, S.",YKW,0,0,3,1
"Amper, T.",YKW,0,0,2,1
"Canton, J.",YKW,0,0,2,0
"Rchonsucks, A.",YKW,0,0,1,1
"Marshall, M.",YKW,0,0,1,0
"Johns, A.",OCO,2,20,3,0
"Wokkenfuss, G.",OCO,1,5,10,0
"Pitcher, A.",OCO,1,5,4,0
"Pak, Y.",OCO,1,5,3,0
"Allan, C.",OCO,1,5,0,0
"Banks II, D.",OCO,1,5,0,0
"Biggums, T.",OCO,1,5,0,0
"Salami, T.",OCO,1,5,0,0
"Blaze, J.",OCO,0,0,1,0
"Harrison, H.",OCO,0,0,1,0
"Reed, A.",OCO,0,0,1,0
"Tony, P.",OCO,0,0,1,0
