Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Hendrix, K.",COL,6,68,11.3,20,1,1,1
"Hargrove, M.",COL,5,33,6.6,13,0,1,1
"Shaloiko, J.",COL,4,47,11.8,21,0,1,1
"Law, D.",COL,3,48,16,23,0,1,1
"O'Connell, K.",COL,1,15,15,15,0,1,1
"Tweed, B.",COL,1,8,8,8,0,1,1
"Weller, B.",COL,1,8,8,8,0,1,1
"Tenzini, G.",BAL,8,40,5,8,0,1,1
"West, D.",BAL,4,67,16.8,33,1,1,1
"Christmas, C.",BAL,4,50,12.5,17,0,1,1
"Lecavalier, R.",BAL,4,40,10,15,0,1,1
"Robinson, M.",BAL,3,13,4.3,5,0,1,1
"Piper, W.",BAL,1,9,9,9,1,1,1
"Novel, L.",BAL,1,3,3,3,0,1,1
