Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Rodriguez, B.",COL,1,2,6,0,1,1
"O'Connell, K.",COL,1,5,1,0,1,1
"Cox, V.",COL,1,5,0,0,1,1
"Lewis, G.",COL,1,5,0,0,1,1
"Marmeladov, V.",COL,1,15,0,0,1,1
"Teagarden, E.",COL,1,5,0,0,1,1
"Wozy, F.",COL,1,5,0,0,1,1
"Bigboy15, Z.",COL,0,0,4,0,1,1
"Bigboy16, Z.",COL,0,0,4,0,1,1
"Forthward, B.",COL,0,0,3,0,1,1
"Bigboy14, Z.",COL,0,0,2,0,1,1
"Hargrove, M.",COL,0,0,2,0,1,1
"Tweed, B.",COL,0,0,2,0,1,1
"Tiernan, L.",COL,0,0,1,0,1,1
"Bigboy12, Z.",BAL,1,5,3,1,1,1
"Sharpei, V.",BAL,1,5,0,1,1,1
"Harrison, S.",BAL,1,10,0,0,1,1
"Hendrix, K.",BAL,1,5,0,0,1,1
"Speed, D.",BAL,1,15,0,0,1,1
"Bigboy1, Z.",BAL,0,0,2,1,1,1
"Bigboy10, Z.",BAL,0,0,2,0,1,1
"Novel, L.",BAL,0,0,2,0,1,1
"Tenzini, G.",BAL,0,0,1,0,1,1
"Weal, J.",BAL,0,0,1,0,1,1
