,Q,Score Type,Time Remaining,Play,CHI,YKW
1,1,TD,8:02,Tommy Helanen 1 yd pass from Cooter Bigsby. (Neo Donaldson kick),0,7
2,1,FG,3:33,45 yd FG by Kulture Fulture,3,7
3,1,TD,0:33,Morgan Marshall 1 yd run. (Neo Donaldson kick),3,14
5,2,TD,13:11,Ronald Watkins 93 yd interception return. (Kulture Fulture kick),10,14
6,2,FG,9:25,27 yd FG by Neo Donaldson,10,17
7,2,FG,6:38,44 yd FG by Kulture Fulture,13,17
8,2,TD,0:50,Morgan Marshall 12 yd run. (Neo Donaldson kick),13,24
10,3,SF,11:03,Cooter Bigsby tackled for a safety.,15,24
11,3,FG,2:32,21 yd FG by Neo Donaldson,15,27
12,3,TD,0:04,Morgan Marshall 4 yd run. (Neo Donaldson kick),15,34
14,4,SF,14:34,Rose Jenkins tackled for a safety.,15,36
15,4,TD,11:22,Morgan Marshall 1 yd run. (Neo Donaldson XP no good),15,42
16,4,TD,9:41,Morgan Marshall 1 yd run. (Neo Donaldson kick),15,49
