Player,Team,Tck,TFL,Sack,PD,Int,Sfty,def_TD,FF,FR,Blk P,Blk XP,Blk FG,W,S
"Tiernan, L.",YKW,13,0,2,0,0,0,0,0,0,0,0,0,10,4
"Ridley, W.",YKW,11,0,1,1,0,0,0,0,0,0,0,0,10,4
"Shelton, L.",YKW,8,0,1,3,1,0,0,0,0,0,0,0,10,4
"Hardrool, C.",YKW,7,0,0,1,1,0,1,0,0,0,0,0,10,4
"Bj̦rnsson, B.",YKW,4,0,1,0,0,0,0,0,0,0,0,0,10,4
"Fitzfatrick, R.",YKW,4,0,0,0,0,0,0,0,0,0,0,0,10,4
"Floggity, J.",YKW,4,0,0,0,0,0,0,0,0,0,0,0,10,4
"Kane, M.",YKW,4,0,1,0,0,0,0,0,0,0,0,0,10,4
"Gustavsson, E.",YKW,3,1,0,0,0,0,0,0,0,0,0,0,10,4
"Lavelle, D.",YKW,3,0,0,1,1,0,1,0,0,0,0,0,10,4
"Maddox, R.",YKW,3,2,0,0,0,0,0,0,0,0,0,0,10,4
"Fulton, W.",LV,12,0,0,2,0,0,0,1,0,0,0,0,10,4
"Stropko, B.",LV,10,0,0,2,0,0,0,0,0,0,0,0,10,4
"Oakes, B.",LV,6,0,0,0,0,0,0,0,0,0,0,0,10,4
"Carter, P.",LV,4,0,0,1,0,0,0,0,0,0,0,0,10,4
"Morgan, L.",LV,4,0,1,0,0,0,0,0,1,0,0,0,10,4
"Cox, J.",LV,3,1,0,0,0,0,0,0,0,0,0,0,10,4
"Cox, V.",LV,2,0,0,0,0,0,0,0,0,0,0,0,10,4
"Flimjollywop, S.",LV,2,1,0,0,0,0,0,0,0,0,0,0,10,4
"Shoate, T.",LV,2,0,0,1,1,0,0,0,0,0,0,0,10,4
"Bot, B.",LV,1,0,0,0,0,0,0,0,0,0,0,0,10,4
"Maddox, S.",LV,1,0,0,0,0,0,0,0,0,0,0,0,10,4
"Saginaw, A.",LV,1,0,0,0,0,0,0,0,0,0,0,0,10,4
