,Q,Score Type,Time Remaining,Play,PHI,NO
1,1,FG,10:54,23 yd FG by Stephen Harris,3,0
2,1,TD,4:15,Darren Smallwood 10 yd run. (Peg Leg kick),3,7
3,1,TD,0:28,Fox North 21 yd pass from Tyler Oles. (Stephen Harris kick),10,7
5,2,FG,13:10,39 yd FG by Peg Leg,10,10
6,2,TD,10:04,Carter Bush 15 yd pass from Tyler Oles. (Stephen Harris kick),17,10
7,2,TD,5:53,Blackford Oakes 25 yd pass from Borkus Maximus III. (Peg Leg kick),17,17
9,3,FG,10:22,32 yd FG by Peg Leg,17,20
11,4,FG,13:46,35 yd FG by Stephen Harris,20,20
12,4,FG,12:11,47 yd FG by Peg Leg,20,23
13,4,TD,4:08,Paul DiMirio 2 yd pass from Tyler Oles. (Stephen Harris kick),27,23
