Player,Team,Tck,TFL,Sack,PD,Int,Sfty,def_TD,FF,FR,Blk P,Blk XP,Blk FG,W,S
"Harris, F.",OCO,16,3,2,1,0,0,0,0,0,0,0,0,13,2
"Bavitz, I.",OCO,14,0,1,0,0,0,0,0,0,0,0,0,13,2
"Verns, D.",OCO,12,2,2,0,0,0,0,0,0,0,0,0,13,2
"McGinn, I.",OCO,7,0,0,0,0,0,0,0,0,0,0,0,13,2
"Petrakis, A.",OCO,6,0,0,1,0,0,0,0,0,0,0,0,13,2
"Kronen, R.",OCO,4,0,0,1,1,0,0,0,0,0,0,0,13,2
"Tomlinson, A.",OCO,3,1,0,0,0,0,0,0,0,0,0,0,13,2
"Reigns, J.",OCO,2,0,0,0,0,0,0,0,0,0,0,0,13,2
"Sandoval, R.",OCO,2,0,1,0,0,0,0,0,0,0,0,0,13,2
"Spector, M.",OCO,2,0,0,1,0,0,0,0,0,0,0,0,13,2
"Masvidal, J.",BAL,8,0,0,0,0,0,0,0,0,0,0,0,13,2
"Broadway, E.",BAL,6,0,0,2,1,0,0,0,0,0,0,0,13,2
"Harrison, S.",BAL,6,0,0,1,0,0,0,0,0,0,0,0,13,2
"Turner, D.",BAL,6,0,0,1,0,0,0,0,0,0,0,0,13,2
"Wright, J.",BAL,6,0,0,0,0,0,0,0,0,0,0,0,13,2
"Boom, J.",BAL,5,0,0,0,0,0,0,0,0,0,0,0,13,2
"Metas, B.",BAL,4,1,0,0,0,0,0,0,0,0,0,0,13,2
"Delacour, A.",BAL,3,0,0,0,0,0,0,0,0,0,0,0,13,2
"Hendrix, K.",BAL,2,2,0,0,0,0,0,0,0,0,0,0,13,2
"Reyes, R.",BAL,1,0,1,1,1,0,0,0,0,0,0,0,13,2
