Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG
"Fletcher, G.",BAL,6,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Goodson, N.",BAL,5,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Roenick, A.",BAL,4,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Delacour, A.",BAL,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Gambino, C.",BAL,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Hendrix, K.",BAL,3,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Rove, C.",BAL,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Willie, T.",BAL,3,0,0,0/0,1,1,0,0,"[0, 0, 0]"
"Joshua, C.",BAL,1,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Marmeladov, V.",BAL,1,0,0,0/0,1,1,0,1,"[0, 0, 0]"
"Ishigawa, H.",COL,17,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Miller, H.",COL,8,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Ramero, R.",COL,8,0,1,0/0,2,0,0,0,"[0, 0, 0]"
"Flock, R.",COL,6,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Bly Jr., A.",COL,5,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Brister, T.",COL,5,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Sandoval, A.",COL,5,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Tillman, M.",COL,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Kamaka, E.",COL,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Ludvig, O.",COL,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Pierno, N.",COL,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
