,Q,Score Type,Time Remaining,Play,COL,BAL
1,1,TD,5:50,Avon Blocksdale 9 yd run. (Turk Turkleton kick),0,7
2,1,TD,3:49,Dwayne Aaron 31 yd pass from Ryan Applehort. (Micycle McCormick kick),7,7
4,2,TD,13:06,Owen Taylor 11 yd pass from Avon Blocksdale. (Turk Turkleton kick),7,14
5,2,TD,4:06,Dwayne Aaron 2 yd pass from Ryan Applehort. (Micycle McCormick kick),14,14
6,2,FG,2:09,39 yd FG by Turk Turkleton,14,17
8,3,TD,7:58,Fox North 6 yd pass from Ryan Applehort. (Micycle McCormick kick),21,17
9,3,TD,3:53,Trey Willie 16 yd pass from Avon Blocksdale. (Turk Turkleton kick),21,24
11,4,FG,12:39,41 yd FG by Turk Turkleton,21,27
12,4,TD,9:57,Vikian Marmeladov 63 yd interception return. (Turk Turkleton kick),21,34
13,4,TD,6:49,Dwayne Aaron 8 yd pass from Ryan Applehort. (Micycle McCormick kick),28,34
14,4,FG,1:07,26 yd FG by Turk Turkleton,28,37
