Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Tiernan, L.",YKW,1,5,0,0
"Pooky, S.",YKW,0,0,6,0
"McPoyal, G.",YKW,0,0,4,0
"Mushing, M.",YKW,0,0,4,0
"Ones, B.",YKW,0,0,4,0
"Harris Jr., F.",YKW,0,0,1,0
"Rainey, R.",YKW,0,0,1,0
"Kamaka, E.",PHI,2,20,0,0
"Davidson, D.",PHI,1,10,0,0
"Kroetch, D.",PHI,1,5,0,0
"Lee, J.",PHI,1,5,0,0
"North, F.",PHI,1,5,0,0
"Tucker, P.",PHI,1,4,0,0
"Tyler, J.",PHI,0,0,7,1
"Filmore, M.",PHI,0,0,5,0
"Van Buren, M.",PHI,0,0,4,0
"Arthur, C.",PHI,0,0,3,0
"Hayes, R.",PHI,0,0,3,0
"DiMirio, P.",PHI,0,0,2,0
"Bush, C.",PHI,0,0,1,0
