,Q,Score Type,Time Remaining,Play,PHI,YKW
1,1,TD,11:06,Paul DiMirio 21 yd pass from Tyler Oles. (Stephen Harris kick),7,0
2,1,TD,8:43,Damien Kroetch 6 yd run. (Stephen Harris kick),14,0
4,2,FG,9:42,46 yd FG by Stephen Harris,17,0
5,2,FG,6:25,35 yd FG by None Forfeit,17,3
6,2,TD,4:58,Robby Rainey 4 yd run. (None Forfeit kick),17,10
7,2,FG,0:19,40 yd FG by Stephen Harris,20,10
9,3,TD,12:05,Eric Kennedy 26 yd pass from Mat Akselsen. (None Forfeit kick),20,17
10,3,FG,7:56,44 yd FG by Stephen Harris,23,17
11,3,FG,1:27,37 yd FG by Stephen Harris,26,17
12,3,TD,0:00,Robby Rainey 29 yd pass from Mat Akselsen. (None Forfeit kick),26,24
14,4,TD,10:21,Paul DiMirio 18 yd pass from Tyler Oles. (Stephen Harris kick),33,24
15,4,TD,3:59,Robby Rainey 1 yd run. (None Forfeit kick),33,31
16,4,TD,0:56,Damien Kroetch 2 yd run. (Stephen Harris kick),40,31
