Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG,FF,Blk P,Blk XP,Blk FG,W,S
"D'Attoria V, R.",PHI,10,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"DeSoto, J.",PHI,8,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"Zelos, J.",PHI,8,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,8,25
"Suzuki, S.",PHI,6,0,1,0/0,1,0,0,0,0/0/0,0,0,0,0,8,25
"Booker, B.",PHI,4,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"Eriksen, W.",PHI,4,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"Om, T.",PHI,4,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"Cross, M.",PHI,3,0,0,0/0,1,1,0,0,0/0/0,0,0,0,0,8,25
"Gronlie, T.",PHI,2,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"Haywood, H.",PHI,2,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"Wrecks, T.",PHI,2,1,1,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"Joestar, J.",OCO,11,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"Eagle, R.",OCO,6,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"Jones, D.",OCO,5,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"Vegeta, P.",OCO,5,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"Abernathy, K.",OCO,3,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,8,25
"Biggums, T.",OCO,3,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,8,25
"Deck, I.",OCO,3,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"Beerus, L.",OCO,2,0,0,0/0,2,0,0,0,0/0/0,0,0,0,0,8,25
"Bob, B.",OCO,2,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"Tank, G.",OCO,2,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"Wheezer, C.",OCO,1,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
