,Q,Score Type,Time Remaining,Play,HON,AUS
1,1,TD,9:26,Ryan Leaf Jr. 2 yd run. (Alfredo Crisco kick),0,7
2,1,TD,3:57,Mako Mendonca 9 yd run. (Alfredo Crisco kick),0,14
3,1,TD,0:02,Rod Tidwell 38 yd pass from Easton Cole. (Alfredo Crisco kick),0,21
5,2,TD,10:53,Ruff Ruff 2 yd run. (Venus Powers kick),7,21
6,2,TD,5:15,Rod Tidwell 21 yd pass from Easton Cole. (Alfredo Crisco kick),7,28
8,3,FG,11:39,31 yd FG by Alfredo Crisco,7,31
9,3,TD,8:00,Mako Mendonca 1 yd run. (Alfredo Crisco kick),7,38
10,3,FG,1:10,19 yd FG by Alfredo Crisco,7,41
12,4,TD,9:59,Mako Mendonca 9 yd pass from Easton Cole. (Alfredo Crisco kick),7,48
13,4,TD,1:33,Eddie Jeeta (R) 4 yd pass from Easton Cole. (Alfredo Crisco kick),7,55
