,Q,Score Type,Time Remaining,Play,PHI,AZ
1,1,TD,11:12,Vander Jones 1 yd run. (Kulture Fulture kick),7,0
2,1,FG,5:21,25 yd FG by Kulture Fulture,10,0
3,1,TD,0:30,Sam Hardwick 8 yd pass from Andrew Reese. (Dean Jackson kick),10,7
5,2,TD,13:16,Ricky Adams 41 yd pass from Andrew Reese. (Dean Jackson kick),10,14
6,2,TD,12:56,Lennox Garnett 108 yd kickoff return. (Kulture Fulture kick),17,14
7,2,FG,4:54,20 yd FG by Dean Jackson,17,17
8,2,FG,1:44,39 yd FG by Dean Jackson,17,20
10,3,FG,10:49,40 yd FG by Dean Jackson,17,23
11,3,FG,7:44,33 yd FG by Dean Jackson,17,26
12,3,TD,3:15,Ricky Adams 14 yd pass from Andrew Reese. (Dean Jackson kick),17,33
14,4,TD,9:17,Carter Bush 8 yd pass from Adriana Falconi. (2pt conversion good),25,33
15,4,TD,4:48,Brock Landers 10 yd pass from Andrew Reese. (Dean Jackson kick),25,40
16,4,TD,0:07,Ricky Adams 6 yd run. (Dean Jackson kick),25,47
