,Q,Score Type,Time Remaining,Play,SJS,PHI
1,1,TD,11:25,Josh Garden 10 yd pass from Clifford Rove. (Stephen Harris kick),0,7
2,1,SF,10:24,Chris Orosz tackled for a safety.,0,9
3,1,TD,6:40,Damien Kroetch 1 yd run. (Stephen Harris kick),0,16
5,2,TD,13:36,Mayran Jackson 6 yd pass from Chris Orosz. (Iyah Blewitt kick),7,16
6,2,FG,9:35,33 yd FG by Stephen Harris,7,19
7,2,FG,1:26,25 yd FG by Stephen Harris,7,22
9,3,TD,11:48,Josh Garden 8 yd pass from Clifford Rove. (Stephen Harris kick),7,29
10,3,TD,5:41,Mayran Jackson 6 yd pass from Chris Orosz. (Iyah Blewitt kick),14,29
12,4,TD,13:43,Jon Ross 8 yd pass from Clifford Rove. (Stephen Harris XP no good),14,35
13,4,TD,2:14,Jon Ross 5 yd pass from Clifford Rove. (Stephen Harris kick),14,42
14,4,TD,0:22,Kieran O'Connell 3 yd run. (Stephen Harris kick),14,49
