Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"King, G.",ARI,2,10,0,0
"Worthy, G.",ARI,1,5,3,0
"Chess, C.",ARI,1,0,0,0
"Flock, R.",ARI,1,5,0,0
"Pest, T.",ARI,0,0,7,0
"Tuck, J.",ARI,0,0,4,0
"Zoidberg, S.",ARI,0,0,4,0
"Thomas, A.",ARI,0,0,2,1
"Tkachuk, J.",ARI,0,0,2,1
"Timlin, S.",ARI,0,0,2,0
"Westfield, B.",OCO,2,10,0,0
"Finkenlarkin, S.",OCO,1,10,6,2
"Hamilton, C.",OCO,1,10,2,1
"Jenkins, L.",OCO,1,5,0,0
"Kronen, R.",OCO,1,15,0,0
"McGinn, I.",OCO,1,5,0,0
"Spector, M.",OCO,1,5,0,0
"Thor, L.",OCO,1,10,0,0
"Wright Jr, G.",OCO,0,0,3,0
"Clegane, G.",OCO,0,0,2,0
"Ferguson, D.",OCO,0,0,2,0
"Winchester, A.",OCO,0,0,2,0
