,Q,Score Type,Time Remaining,Play,COL,PHI
1,1,TD,4:30,Fox North 32 yd pass from Tyler Oles. (Stephen Harris kick),0,7
3,2,TD,14:06,Fox North 5 yd pass from Tyler Oles. (Stephen Harris kick),0,14
4,2,TD,11:04,Josh Garden 45 yd pass from Tyler Oles. (Stephen Harris kick),0,21
6,3,TD,10:36,Fox North 8 yd pass from Tyler Oles. (Stephen Harris kick),0,28
7,3,FG,7:34,45 yd FG by Micycle McCormick,3,28
8,3,FG,5:20,34 yd FG by Micycle McCormick,6,28
9,3,TD,0:21,Josh Garden 8 yd pass from Tyler Oles. (Stephen Harris kick),6,35
11,4,FG,12:20,47 yd FG by Micycle McCormick,9,35
12,4,TD,3:40,Mark (R) Grau 2 yd run. (Micycle McCormick kick),16,35
13,4,FG,0:00,35 yd FG by Stephen Harris,16,38
