,Q,Score Type,Time Remaining,Play,OCO,BAL
1,1,TD,9:45,Trey Willie 12 yd pass from Avon Blocksdale. (Turk Turkleton kick),0,7
2,1,TD,7:34,Jordan Yates 1 yd pass from Mike Boss. (Bradley Madlad kick),7,7
3,1,TD,2:27,Owen Taylor 2 yd pass from Avon Blocksdale. (Turk Turkleton kick),7,14
4,1,FG,0:07,23 yd FG by Bradley Madlad,10,14
6,2,TD,10:11,Alexandre LeClair 8 yd pass from Avon Blocksdale. (Turk Turkleton kick),10,21
7,2,FG,6:41,49 yd FG by Bradley Madlad,13,21
8,2,TD,5:42,Trey Willie 3 yd pass from Avon Blocksdale. (Turk Turkleton XP no good),13,27
9,2,TD,1:02,Bradley Westfield 19 yd pass from Mike Boss. (Bradley Madlad kick),20,27
11,3,FG,8:26,38 yd FG by Turk Turkleton,20,30
12,3,TD,4:06,Jordan Yates 3 yd pass from Mike Boss. (Bradley Madlad kick),27,30
13,3,TD,0:38,Owen Taylor 7 yd pass from Avon Blocksdale. (Turk Turkleton kick),27,37
15,4,FG,10:30,33 yd FG by Bradley Madlad,30,37
