,Q,Score Type,Time Remaining,Play,BAL,PHI
1,1,FG,9:57,35 yd FG by Datsum PhastBawls,3,0
2,1,FG,5:58,33 yd FG by Datsum PhastBawls,6,0
4,2,FG,13:29,24 yd FG by Datsum PhastBawls,9,0
5,2,FG,9:37,34 yd FG by Jake Fencik,9,3
6,2,TD,7:48,Brock Phoenix (C) 13 yd run. (Jake Fencik kick),9,10
7,2,TD,4:34,Sam Torenson 1 yd run. (Jake Fencik kick),9,17
8,2,TD,4:19,Mathias Hanyadi 108 yd kickoff return. (Datsum PhastBawls kick),16,17
9,2,FG,1:36,41 yd FG by Jake Fencik,16,20
11,3,TD,0:00,Mai Fukushu 23 yd pass from Chika Fujiwara. (Datsum PhastBawls kick),23,20
13,4,TD,4:37,James Lewandowski 16 yd pass from Chika Fujiwara. (Datsum PhastBawls kick),30,20
