,Q,Score Type,Time Remaining,Play,YKW,PHI
1,1,TD,11:03,Mat Akselsen 4 yd run. (None Forfeit kick),7,0
2,1,TD,10:03,Mat Akselsen 34 yd run. (None Forfeit kick),14,0
3,1,TD,4:21,Carter Bush 2 yd run. (Stephen Harris kick),14,7
5,2,FG,14:53,33 yd FG by None Forfeit,17,7
6,2,TD,10:30,Paul DiMirio 13 yd pass from Tyler Oles. (Stephen Harris kick),17,14
7,2,TD,6:39,Fox North 32 yd pass from Tyler Oles. (Stephen Harris kick),17,21
8,2,FG,1:29,26 yd FG by None Forfeit,20,21
10,3,TD,12:50,Glenn McPoyal 25 yd pass from Mat Akselsen. (None Forfeit kick),27,21
11,3,TD,8:31,Damien Kroetch 1 yd run. (Stephen Harris kick),27,28
12,3,TD,3:32,Mat Akselsen 12 yd run. (None Forfeit kick),34,28
14,4,TD,13:16,Robby Rainey 4 yd run. (None Forfeit kick),41,28
15,4,TD,4:49,Bailey Cook 2 yd pass from Mat Akselsen. (None Forfeit kick),48,28
