,Q,Score Type,Time Remaining,Play,YKW,AZ
1,1,FG,10:52,32 yd FG by None Forfeit,3,0
2,1,TD,2:03,Cesar Milan 1 yd run. (None Forfeit kick),10,0
4,2,FG,7:13,44 yd FG by None Forfeit,13,0
5,2,TD,2:06,Cesar Milan 1 yd run. (None Forfeit kick),20,0
6,2,TD,0:00,Budda Browning 46 yd pass from King Bronko. (Dean Jackson kick),20,7
8,3,TD,10:35,Mat Akselsen 14 yd run. (None Forfeit kick),27,7
9,3,TD,4:38,Robby Rainey 1 yd run. (None Forfeit kick),34,7
11,4,FG,10:55,37 yd FG by None Forfeit,37,7
12,4,TD,9:16,Budda Browning 62 yd pass from King Bronko. (Dean Jackson kick),37,14
13,4,TD,4:22,Johnny Rocket 31 yd pass from Mat Akselsen. (None Forfeit kick),44,14
14,4,TD,0:00,Mat Akselsen 6 yd run. (None Forfeit kick),51,14
