,Q,Score Type,Time Remaining,Play,AZ,AUS
1,1,TD,7:54,Saba Donut (R) 17 yd pass from Andrew Reese. (Cameron Clutch (R) kick),7,0
2,1,TD,3:53,Rod Tidwell 18 yd pass from Easton Cole. (Alfredo Crisco kick),7,7
4,2,TD,11:06,Ashley Owens 4 yd run. (Alfredo Crisco kick),7,14
5,2,TD,6:59,Jammerson Irving 8 yd pass from Andrew Reese. (Cameron Clutch (R) kick),14,14
6,2,FG,1:03,47 yd FG by Alfredo Crisco,14,17
8,3,TD,9:23,Mako Mendonca 6 yd pass from Easton Cole. (Alfredo Crisco kick),14,24
9,3,TD,3:09,Saba Donut (R) 26 yd pass from Andrew Reese. (Cameron Clutch (R) kick),21,24
11,4,FG,14:56,38 yd FG by Alfredo Crisco,21,27
12,4,TD,11:22,Kazimir Oles 18 yd pass from Andrew Reese. (Cameron Clutch (R) kick),28,27
13,4,TD,4:33,Ashley Owens 5 yd run. (2pt conversion failed),28,33
