,Q,Score Type,Time Remaining,Play,COL,YKW
1,1,TD,10:58,Brian Wheat 1 yd pass from Ryan Applehort. (Micycle McCormick kick),7,0
2,1,TD,4:36,Eric Kennedy 22 yd pass from Mat Akselsen. (None Forfeit kick),7,7
4,2,TD,10:44,Borro Gore 12 yd pass from Mat Akselsen. (None Forfeit kick),7,14
5,2,TD,5:16,Brian Wheat 10 yd pass from Ryan Applehort. (Micycle McCormick kick),14,14
6,2,TD,1:01,Alexandre (R) Thibault 63 yd interception return. (Micycle McCormick kick),21,14
8,3,TD,10:24,Dwayne Aaron 6 yd pass from Ryan Applehort. (Micycle McCormick kick),28,14
9,3,FG,1:51,40 yd FG by None Forfeit,28,17
11,4,TD,7:43,Dermot Lavelle 5 yd pass from Mat Akselsen. (2pt conversion failed),28,23
12,4,FG,4:39,34 yd FG by Micycle McCormick,31,23
13,4,FG,1:01,40 yd FG by Micycle McCormick,34,23
