,Q,Score Type,Time Remaining,Play,COL,OCO
1,1,TD,11:17,Jimmy Cox 4 yd run. (Micycle McCormick kick),7,0
2,1,TD,7:46,Carlito Crush 17 yd pass from Mike Boss. (Bradley Madlad kick),7,7
3,1,FG,5:26,32 yd FG by Bradley Madlad,7,10
5,2,TD,13:06,Carlito Crush 5 yd pass from Mike Boss. (Bradley Madlad kick),7,17
6,2,TD,8:47,Carlito Crush 32 yd pass from Mike Boss. (Bradley Madlad kick),7,24
7,2,TD,5:43,Damien Kroetch 5 yd run. (Micycle McCormick kick),14,24
8,2,TD,2:22,Jordan Yates 2 yd pass from Mike Boss. (Bradley Madlad kick),14,31
9,2,FG,0:10,50 yd FG by Micycle McCormick,17,31
11,3,TD,7:32,Howard Miller 11 yd pass from Ryan Applehort. (Micycle McCormick kick),24,31
12,3,TD,2:55,Jordan Yates 3 yd run. (Bradley Madlad kick),24,38
14,4,TD,2:25,Jimmy Cox 1 yd run. (Micycle McCormick kick),31,38
