,Q,Score Type,Time Remaining,Play,PHI,YKW
1,1,TD,6:09,Morgan Marshall 4 yd run. (Stephen Harris Jr kick),0,7
2,1,TD,1:56,Nacho Varga 15 yd pass from Adriana Falconi. (Kyle Frost kick),7,7
4,2,TD,11:59,Jordan von Matt 6 yd pass from Adriana Falconi. (Kyle Frost kick),14,7
5,2,TD,1:36,Jordan von Matt 22 yd pass from Adriana Falconi. (Kyle Frost kick),21,7
7,3,TD,10:53,Tommy Helanen 11 yd pass from Cooter Bigsby. (Stephen Harris Jr kick),21,14
8,3,TD,8:10,Jordan von Matt 6 yd pass from Adriana Falconi. (Kyle Frost kick),28,14
10,4,FG,11:20,39 yd FG by Stephen Harris Jr,28,17
11,4,TD,4:22,Morgan Marshall 3 yd run. (2pt conversion good),28,25
12,4,FG,0:20,18 yd FG by Stephen Harris Jr,28,28
14,5,FG,7:15,36 yd FG by Stephen Harris Jr,28,31
