Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Centre, S.",COL,1,15,4,0
"Thruster, D.",COL,1,5,3,0
"Gilbert, R.",COL,0,0,5,0
"Sauce, E.",COL,0,0,4,0
"Guard, R.",COL,0,0,3,0
"Guard, L.",COL,0,0,2,0
"Magic, M.",COL,0,0,2,0
"Owens, A.",COL,0,0,2,0
"Bumper, T.",COL,0,0,1,0
"Johnson, R.",SJS,1,10,5,0
"Bot, B.",SJS,1,5,4,0
"Lanier, B.",SJS,1,5,0,0
"Pancake, P.",SJS,0,0,4,0
"Pest, T.",SJS,0,0,4,0
"Lee, B.",SJS,0,0,3,0
"McDavid, L.",SJS,0,0,3,0
"Cardrissian, R.",SJS,0,0,2,0
"Lackson, J.",SJS,0,0,1,0
