,Q,Score Type,Time Remaining,Play,SJS,BAL
1,1,FG,12:09,23 yd FG by Iyah Blewitt,3,0
3,2,TD,13:14,Trey Willie 41 yd pass from Avon Blocksdale. (Turk Turkleton kick),3,7
4,2,FG,10:09,43 yd FG by Turk Turkleton,3,10
5,2,TD,6:33,Darren Smallwood 6 yd pass from Chris Orosz. (Iyah Blewitt kick),10,10
7,3,TD,9:24,Verso (R) L'Alto 7 yd pass from Avon Blocksdale. (Turk Turkleton kick),10,17
8,3,TD,8:35,Denzel Diaz 1 yd run. (Iyah Blewitt kick),17,17
9,3,FG,5:36,42 yd FG by Turk Turkleton,17,20
11,4,TD,13:19,Denzel Diaz 1 yd run. (Iyah Blewitt kick),24,20
12,4,FG,6:27,48 yd FG by Iyah Blewitt,27,20
13,4,TD,0:27,John Wachter 5 yd pass from Avon Blocksdale. (Turk Turkleton kick),27,27
15,5,TD,0:34,Torque Lewith 28 yd interception return.,33,27
