,Q,Score Type,Time Remaining,Play,PHI,NO
1,1,FG,8:29,18 yd FG by Beat Meoff,0,3
3,2,FG,13:17,34 yd FG by Beat Meoff,0,6
4,2,FG,5:37,18 yd FG by Beat Meoff,0,9
5,2,TD,4:39,Vladimir Fyodorovich 49 yd punt return. (Beat Meoff kick),0,16
7,3,TD,11:45,Darren Smallwood 1 yd run. (Beat Meoff kick),0,23
8,3,TD,5:31,Chinwemma (R) Yobanna-Kanayochukwu 5 yd pass from Borkus Maximus III. (Beat Meoff kick),0,30
9,3,FG,0:51,34 yd FG by Kulture (R) Fulture,3,30
11,4,TD,14:15,Marquise Brown 3 yd run. (Kulture (R) Fulture kick),10,30
12,4,FG,7:58,29 yd FG by Beat Meoff,10,33
13,4,TD,5:57,Marquise Brown 2 yd run. (Kulture (R) Fulture kick),17,33
14,4,TD,2:53,Darren Smallwood 3 yd run. (Beat Meoff kick),17,40
