Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"von Matt, J.",PHI,5,95,19,32,0,5,12
"Hasselhoff, F.",PHI,5,80,16,30,0,5,12
"Bush, C.",PHI,3,29,9.7,13,1,5,12
"Hondo, A.",PHI,3,24,8,11,0,5,12
"Brown, M.",PHI,1,6,6,6,0,5,12
"Hardwick, S.",PHI,1,4,4,4,1,5,12
"Pennington, B.",YKW,4,55,13.8,25,0,5,12
"Pitcher, A.",YKW,4,31,7.8,10,0,5,12
"Browning, B.",YKW,2,13,6.5,7,0,5,12
"McPoyal, G.",YKW,2,12,6,7,0,5,12
"Harris Jr., F.",YKW,1,11,11,11,0,5,12
"Parker, J.",YKW,1,3,3,3,0,5,12
"Wizardry, D.",YKW,1,0,0,0,0,5,12
