Player,Team,Tck,TFL,Sack,PD,Int,Sfty,def_TD,FF,FR,Blk P,Blk XP,Blk FG,W,S
"Becker, K.",PHI,8,0,0,0,0,0,0,0,0,0,0,0,5,12
"Robertson, A.",PHI,8,0,0,0,0,0,0,0,0,0,0,0,5,12
"Cox III, J.",PHI,3,0,0,2,0,0,0,0,0,0,0,0,5,12
"Cobalt, R.",PHI,3,0,0,0,0,0,0,0,0,0,0,0,5,12
"Marchand, J.",PHI,3,0,0,0,0,0,0,0,0,0,0,0,5,12
"Weathers III, B.",PHI,3,0,1,0,0,0,0,0,0,0,0,0,5,12
"Kalilmoku, I.",PHI,2,0,0,0,0,0,0,0,0,0,0,0,5,12
"Garnett, L.",PHI,2,0,1,0,0,0,0,0,0,0,0,0,5,12
"Saul, C.",PHI,2,0,1,0,0,0,0,0,0,0,0,0,5,12
"Smyles, L.",PHI,1,0,0,0,0,0,0,0,0,0,0,0,5,12
"Felix, L.",PHI,1,0,0,0,0,0,0,0,0,0,0,0,5,12
"Rainey, R.",YKW,16,0,1,1,0,0,0,0,0,0,0,0,5,12
"Woodham, A.",YKW,12,0,0,0,0,0,0,0,0,0,0,0,5,12
"Dugnutt, B.",YKW,11,0,0,1,0,0,0,0,0,0,0,0,5,12
"Bly Jr., A.",YKW,6,0,0,0,0,0,0,0,0,0,0,0,5,12
"Piazza, N.",YKW,5,0,1,0,0,0,0,0,0,0,0,0,5,12
"Chambers III, C.",YKW,3,1,0,0,0,0,0,0,0,0,0,0,5,12
"Lavelle, D.",YKW,3,0,0,0,0,0,0,0,0,0,0,0,5,12
"Skinner, Z.",YKW,3,0,0,0,0,0,0,0,0,0,0,0,5,12
"Taylor, C.",YKW,3,0,1,0,0,0,0,0,0,0,0,0,5,12
"Foster, W.",YKW,2,0,0,0,0,0,0,0,0,0,0,0,5,12
"Waiters, A.",YKW,2,0,0,0,0,0,0,0,0,0,0,0,5,12
