,Q,Score Type,Time Remaining,Play,YKW,PHI
1,1,TD,11:28,Carter Bush 10 yd pass from Adriana Falconi. (Kulture Fulture XP no good),0,6
2,1,FG,2:22,38 yd FG by Kulture Fulture,0,9
4,2,FG,12:19,37 yd FG by None Forfeit,3,9
5,2,FG,8:21,32 yd FG by None Forfeit,6,9
6,2,FG,5:06,43 yd FG by Kulture Fulture,6,12
8,3,TD,11:52,Marquise Brown 5 yd run. (Kulture Fulture kick),6,19
9,3,TD,4:00,Achilles Hondo 3 yd run. (Kulture Fulture kick),6,26
11,4,TD,12:13,Sam (R) Hardwick 4 yd pass from Adriana Falconi. (Kulture Fulture kick),6,33
12,4,TD,4:36,Marquise Brown 2 yd run. (Kulture Fulture kick),6,40
13,4,TD,0:41,Marquise Brown 1 yd run. (Kulture Fulture kick),6,47
