Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Cash Jr., S.",BER,6,74,12.3,25,0,13,25
"Matthews, D.",BER,3,58,19.3,34,1,13,25
"Cooper, T.",BER,3,28,9.3,12,0,13,25
"Boyd, C.",BER,2,12,6,6,0,13,25
"King, D.",BER,2,7,3.5,5,0,13,25
"Petrongolo, J.",BER,1,4,4,4,0,13,25
"Skiuuup, C.",BER,1,4,4,4,0,13,25
"Sakura, K.",YKW,4,89,22.2,42,2,13,25
"Rechs, Z.",YKW,4,48,12,35,0,13,25
"Kross, C.",YKW,3,91,30.3,48,0,13,25
"Walker, M.",YKW,3,16,5.3,6,0,13,25
"Skyline, A.",YKW,2,61,30.5,36,0,13,25
"Vermillion, J.",YKW,1,5,5,5,0,13,25
