,Q,Score Type,Time Remaining,Play,BAL,YKW
1,1,SF,14:02,Childish Gambino tackled for a safety.,0,2
2,1,FG,10:25,38 yd FG by None Forfeit,0,5
4,2,TD,10:03,Declan Harp 15 yd pass from Childish Gambino. (Alex Frost kick),7,5
5,2,TD,6:30,Vinny Valentine 4 yd pass from Childish Gambino. (Alex Frost kick),14,5
6,2,FG,2:36,39 yd FG by None Forfeit,14,8
7,2,TD,1:03,Brad Pennington 1 yd pass from Ryan Applehort. (None Forfeit kick),14,15
9,3,TD,12:03,Errol Maddox 47 yd pass from Childish Gambino. (Alex Frost kick),21,15
10,3,FG,7:57,41 yd FG by Alex Frost,24,15
11,3,TD,2:52,Dick Wizardry 3 yd pass from Ryan Applehort. (None Forfeit kick),24,22
12,3,FG,0:38,32 yd FG by Alex Frost,27,22
14,4,TD,10:39,Charlie Trout 36 yd interception return. (Alex Frost kick),34,22
15,4,TD,7:33,Josh Parker 16 yd pass from Ryan Applehort. (None Forfeit kick),34,29
16,4,FG,4:57,32 yd FG by None Forfeit,34,32
