,Q,Score Type,Time Remaining,Play,NO,BAL
1,1,TD,7:03,Bubba Nuck 2 yd run. (Peg Leg kick),7,0
2,1,TD,6:47,Alexandre LeClair 99 yd kickoff return. (Turk Turkleton kick),7,7
4,2,TD,14:19,Darren Smallwood 22 yd pass from Borkus Maximus III. (Peg Leg kick),14,7
5,2,TD,10:58,Alexandre LeClair 44 yd pass from Avon Blocksdale. (Turk Turkleton kick),14,14
6,2,TD,7:42,Dustin Evans 19 yd pass from Borkus Maximus III. (Peg Leg kick),21,14
7,2,FG,0:26,48 yd FG by Peg Leg,24,14
9,3,FG,12:08,39 yd FG by Turk Turkleton,24,17
10,3,TD,8:29,Budda Browning 5 yd pass from Avon Blocksdale. (Turk Turkleton kick),24,24
11,3,TD,5:01,Ardie Savea 11 yd pass from Borkus Maximus III. (Peg Leg kick),31,24
13,4,TD,9:32,Bubba Nuck 8 yd pass from Borkus Maximus III. (Peg Leg XP no good),37,24
14,4,FG,4:47,23 yd FG by Peg Leg,40,24
15,4,TD,0:26,Budda Browning 6 yd pass from Avon Blocksdale. (2pt conversion failed),40,30
